filename,epoch,val_acc,val_f1_weighted,size_mb
model_ep3_acc0.6341_f10.6461.pth,3,0.6341,0.6461,62.39334201812744
model_ep5_acc0.6829_f10.6206.pth,5,0.6829,0.6206,62.39334201812744
model_ep6_acc0.9024_f10.9003.pth,6,0.9024,0.9003,62.39334201812744
model_ep7_acc0.7317_f10.6963.pth,7,0.7317,0.6963,62.39334201812744
model_ep8_acc0.8780_f10.8785.pth,8,0.878,0.8785,62.39334201812744
model_ep9_acc0.8780_f10.8809.pth,9,0.878,0.8809,62.39334201812744
model_ep10_acc0.9268_f10.9245.pth,10,0.9268,0.9245,62.393439292907715
model_ep11_acc0.8780_f10.8802.pth,11,0.878,0.8802,62.393439292907715
model_ep12_acc0.9512_f10.9515.pth,12,0.9512,0.9515,62.393439292907715
model_ep13_acc0.9512_f10.9492.pth,13,0.9512,0.9492,62.393439292907715
model_ep14_acc0.8780_f10.8802.pth,14,0.878,0.8802,62.393439292907715
model_ep15_acc0.9024_f10.9029.pth,15,0.9024,0.9029,62.393439292907715
model_ep16_acc0.8780_f10.8748.pth,16,0.878,0.8748,62.393439292907715
model_ep17_acc0.8780_f10.8802.pth,17,0.878,0.8802,62.393439292907715
model_ep18_acc0.9024_f10.9048.pth,18,0.9024,0.9048,62.393439292907715
model_ep19_acc0.9024_f10.8969.pth,19,0.9024,0.8969,62.393439292907715
model_ep20_acc0.8780_f10.8802.pth,20,0.878,0.8802,62.393439292907715
model_ep21_acc0.8780_f10.8802.pth,21,0.878,0.8802,62.393439292907715
model_ep22_acc0.8780_f10.8802.pth,22,0.878,0.8802,62.393439292907715
model_ep23_acc0.8780_f10.8802.pth,23,0.878,0.8802,62.393439292907715
model_ep24_acc0.8780_f10.8802.pth,24,0.878,0.8802,62.393439292907715
model_ep25_acc0.8780_f10.8802.pth,25,0.878,0.8802,62.393439292907715
model_ep26_acc0.8780_f10.8802.pth,26,0.878,0.8802,62.393439292907715
model_ep27_acc0.8780_f10.8802.pth,27,0.878,0.8802,62.393439292907715
model_ep28_acc0.8780_f10.8802.pth,28,0.878,0.8802,62.393439292907715
model_ep29_acc0.8780_f10.8802.pth,29,0.878,0.8802,62.393439292907715
model_ep30_acc0.8780_f10.8802.pth,30,0.878,0.8802,62.393439292907715
